"age_group","Sex_B01ID","mMETs","IndividualID","sum_MMETh","total_mmet"
" 50 - 59 ",1,5,2012000523,0,5
" 21 - 25 ",1,45,2012000524,0,45
" 21 - 25 ",1,18,2012000525,16.22,34.22
" 80 - 84 ",2,0,2012000526,0,0
" 40 - 49 ",2,19.79,2012000531,2.7,22.49
" 40 - 49 ",1,24.87,2012000532,0,24.87
" 65 - 69 ",2,32.12,2012000536,0,32.12
" 65 - 69 ",1,3.5,2012000537,0,3.5
" 40 - 49 ",1,0,2012000538,4.8,4.8
" 70 - 74 ",2,11,2012000539,5.4,16.4
" 80 - 84 ",1,0,2012000540,5.4,5.4
" 50 - 59 ",1,0,2012000541,5.44,5.44
" 40 - 49 ",2,13.75,2012000542,5.44,19.19
"20",2,24.7,2012000543,0,24.7
"18",1,0,2012000544,0,0
" 50 - 59 ",1,1.75,2012000545,7.2,8.95
" 40 - 49 ",2,0,2012000546,0,0
" 70 - 74 ",1,0,2012000547,0,0
" 65 - 69 ",2,0,2012000548,2.7,2.7
" 65 - 69 ",1,0,2012000549,14.44,14.44
" 65 - 69 ",2,7.5,2012000550,0,7.5
" 65 - 69 ",2,7.64,2012000551,14.7,22.34
" 50 - 59 ",1,0,2012000552,0,0
" 40 - 49 ",2,1.25,2012000553,0,1.25
" 30 - 39 ",2,3.5,2012000558,0,3.5
" 40 - 49 ",1,0,2012000559,0,0
" 50 - 59 ",1,0.87,2012000562,0,0.87
" 50 - 59 ",2,4.5,2012000563,0,4.5
" 40 - 49 ",2,5.5,2012000565,0,5.5
" 65 - 69 ",1,0,2012000566,0,0
" 65 - 69 ",2,1.87,2012000567,36.1,37.97
" 40 - 49 ",1,8.87,2012000568,0,8.87
" 21 - 25 ",1,5.83,2012000569,0,5.83
"18",2,0,2012000570,0,0
" 60 - 64 ",1,0,2012000572,21.27,21.27
" 50 - 59 ",2,0,2012000573,36.92,36.92
" 40 - 49 ",2,0,2012000574,9.12,9.12
"19",2,85.37,2012000575,10.8,96.17
" 85  +",2,0,2012000579,3.61,3.61
" 85  +",1,0,2012000580,3.61,3.61
" 80 - 84 ",2,1.25,2012000581,9.6,10.85
" 40 - 49 ",2,0,2012000582,11.28,11.28
" 70 - 74 ",1,10.5,2012000584,0,10.5
" 65 - 69 ",2,15,2012000585,0,15
" 60 - 64 ",1,10.87,2012000586,0,10.87
" 60 - 64 ",2,0.93,2012000587,0,0.93
" 50 - 59 ",2,35,2012000588,0,35
" 40 - 49 ",2,3.81,2012000589,9.6,13.41
" 50 - 59 ",1,0,2012000590,24,24
" 40 - 49 ",1,20,2012000593,8.16,28.16
" 40 - 49 ",2,79.25,2012000594,20.16,99.41
" 60 - 64 ",2,0,2012000597,13.5,13.5
" 40 - 49 ",1,40.25,2012000598,0,40.25
" 40 - 49 ",2,0,2012000599,0,0
" 40 - 49 ",2,0,2012000601,12.3,12.3
" 40 - 49 ",2,0,2012000603,0,0
" 30 - 39 ",1,0,2012000604,0,0
"19",1,3.75,2012000605,0,3.75
" 40 - 49 ",2,4.83,2012000607,13.7,18.53
" 40 - 49 ",1,0,2012000608,0,0
" 40 - 49 ",1,20,2012000609,9.6,29.6
" 40 - 49 ",2,0,2012000610,9.6,9.6
" 21 - 25 ",1,0,2012000611,0,0
" 30 - 39 ",1,0,2012000613,0,0
" 70 - 74 ",1,0,2012000614,0,0
" 60 - 64 ",2,0,2012000615,0,0
" 50 - 59 ",2,0,2012000616,0,0
" 70 - 74 ",2,0,2012000620,0,0
" 40 - 49 ",2,18.33,2012000621,0,18.33
" 75 - 79 ",2,0,2012000622,0,0
" 50 - 59 ",1,14.5,2012000623,0,14.5
" 26 - 29 ",2,0,2012000624,29.11,29.11
" 30 - 39 ",1,17.92,2012000625,30.91,48.83
" 50 - 59 ",1,0,2012000632,0,0
" 50 - 59 ",1,0.87,2012000635,0,0.87
" 40 - 49 ",2,1.75,2012000636,0,1.75
"18",1,12.7,2012000637,0,12.7
" 40 - 49 ",2,0.87,2012000640,0,0.87
" 40 - 49 ",1,3.5,2012000641,0,3.5
"19",1,55.5,2012000642,0,55.5
" 60 - 64 ",1,8.75,2012000645,0,8.75
" 60 - 64 ",2,0,2012000646,5.28,5.28
" 50 - 59 ",2,0,2012000647,28.5,28.5
" 40 - 49 ",2,4.75,2012000648,0,4.75
" 40 - 49 ",1,20,2012000651,9.6,29.6
" 80 - 84 ",1,0,2012000652,3,3
" 80 - 84 ",2,0,2012000653,0,0
" 60 - 64 ",1,0,2012000654,0,0
" 40 - 49 ",2,14.25,2012000655,0,14.25
" 40 - 49 ",1,10,2012000656,8.61,18.61
" 40 - 49 ",2,0,2012000657,14.4,14.4
" 40 - 49 ",1,1.25,2012000661,0,1.25
" 40 - 49 ",2,5.68,2012000662,0,5.68
" 40 - 49 ",2,15.25,2012000665,0,15.25
" 50 - 59 ",1,51.16,2012000666,0,51.16
" 50 - 59 ",2,0,2012000668,15,15
" 50 - 59 ",1,0,2012000669,12.62,12.62
"18",1,55.5,2012000670,24.31,79.81
" 75 - 79 ",2,15,2012000674,0,15
" 85  +",2,0,2012000675,0,0
" 50 - 59 ",1,1.75,2012000676,12,13.75
" 50 - 59 ",2,0,2012000677,18,18
" 65 - 69 ",1,0,2012000678,0,0
" 70 - 74 ",1,0,2012000679,0,0
" 80 - 84 ",2,0,2012000680,0,0
" 75 - 79 ",2,0,2012000681,0,0
" 80 - 84 ",1,0,2012000682,0,0
" 50 - 59 ",1,3.5,2012000683,0,3.5
" 50 - 59 ",2,0,2012000684,0,0
" 30 - 39 ",2,0,2012000685,31.2,31.2
" 40 - 49 ",1,9,2012000686,0,9
" 60 - 64 ",1,0.18,2012000692,4.8,4.98
" 50 - 59 ",2,13.87,2012000693,13.52,27.39
" 50 - 59 ",1,8.75,2012000694,10.82,19.57
" 75 - 79 ",1,0,2012000695,0,0
" 75 - 79 ",2,0,2012000696,0,0
" 70 - 74 ",2,0,2012000697,0,0
" 40 - 49 ",2,5,2012000698,7.2,12.2
"19",2,0,2012000699,22.8,22.8
" 21 - 25 ",1,0,2012000700,25.2,25.2
" 30 - 39 ",2,2.5,2012000702,7.21,9.71
" 30 - 39 ",1,0,2012000703,0,0
" 30 - 39 ",2,0,2012000706,15.5,15.5
" 30 - 39 ",1,9.93,2012000707,20.2,30.13
" 26 - 29 ",2,0,2012000708,12,12
" 30 - 39 ",2,31.75,2012000709,0,31.75
" 50 - 59 ",2,4.37,2012000710,27.06,31.43
" 60 - 64 ",1,83.16,2012000711,1.8,84.96
" 65 - 69 ",1,0,2012000712,14.4,14.4
"19",2,0,2012000715,0,0
" 50 - 59 ",1,14,2012000716,32.4,46.4
" 50 - 59 ",1,0,2012000717,0,0
" 30 - 39 ",2,1.29,2012000718,2.4,3.69
" 30 - 39 ",1,3.06,2012000719,0.9,3.96
" 75 - 79 ",1,0,2012000721,2.7,2.7
" 70 - 74 ",2,0,2012000722,2.7,2.7
" 80 - 84 ",2,13.5,2012000723,0,13.5
" 50 - 59 ",2,0,2012000724,3.84,3.84
" 65 - 69 ",2,0,2012000725,0,0
" 60 - 64 ",1,0,2012000726,0,0
" 85  +",1,0,2012000727,0,0
" 40 - 49 ",2,36.75,2012000728,0,36.75
" 85  +",2,0,2012000729,0,0
" 40 - 49 ",1,0,2012000730,9.6,9.6
" 50 - 59 ",2,0,2012000731,6.72,6.72
" 21 - 25 ",2,79.16,2012000732,14.4,93.56
" 50 - 59 ",1,0.87,2012000733,13.2,14.07
" 50 - 59 ",2,0,2012000734,3.6,3.6
" 21 - 25 ",2,53,2012000735,20.72,73.72
" 30 - 39 ",2,0,2012000736,0,0
" 40 - 49 ",1,14.5,2012000737,11.52,26.02
" 65 - 69 ",1,9.75,2012000740,4.5,14.25
" 50 - 59 ",2,0,2012000741,0,0
" 21 - 25 ",1,21.79,2012000742,0,21.79
" 30 - 39 ",1,0,2012000743,0,0
" 30 - 39 ",2,0,2012000744,0,0
" 85  +",2,0,2012000745,0,0
" 85  +",2,0,2012000746,0,0
" 60 - 64 ",2,0,2012000747,0,0
" 85  +",2,0,2012000748,0,0
" 70 - 74 ",1,21,2012000749,5.1,26.1
" 65 - 69 ",2,0,2012000750,3.12,3.12
" 40 - 49 ",2,4.75,2012000751,0,4.75
" 40 - 49 ",1,52.5,2012000752,6,58.5
" 60 - 64 ",1,0,2012000755,5.96,5.96
" 60 - 64 ",2,0,2012000756,0,0
" 75 - 79 ",2,0,2012000757,0,0
" 50 - 59 ",2,0,2012000760,1.5,1.5
" 21 - 25 ",1,0,2012000761,0,0
" 65 - 69 ",2,1.66,2012000762,38.4,40.06
" 60 - 64 ",1,0,2012000763,0,0
" 65 - 69 ",2,15,2012000764,4.2,19.2
" 50 - 59 ",2,0,2012000765,0,0
" 60 - 64 ",1,0,2012000766,0,0
" 21 - 25 ",2,47.54,2012000767,10.82,58.36
" 50 - 59 ",1,8.79,2012000768,8.7,17.49
" 50 - 59 ",2,12.18,2012000769,4.8,16.98
